complaint_id,complaint_time,fraud_type,fraud_amount,victim_city,time_to_withdrawal,withdrawal_city,is_high_risk
CMP_100001,2024-05-11 02:15:46,UPI Fraud,95120.72,Jaipur,33,Delhi,1
CMP_100002,2024-07-29 07:02:50,Credit Card Fraud,228458.05,Kolkata,238,Kolkata,0
CMP_100003,2023-01-25 01:14:19,Phishing,86751.44,Hyderabad,1094,Hyderabad,0
CMP_100004,2024-03-11 04:14:58,Phishing,65437.96,Chennai,979,Chennai,0
CMP_100005,2024-09-20 16:52:38,Online Shopping Scam,83411.82,Pune,386,Pune,0
CMP_100006,2023-09-22 01:48:45,Phishing,99228.94,Delhi,749,Delhi,0
CMP_100007,2023-10-23 03:38:29,UPI Fraud,52950.89,Indore,38,Delhi,1
CMP_100008,2024-02-21 04:05:58,Credit Card Fraud,205931.88,Bengaluru,1190,Bengaluru,0
CMP_100009,2024-05-03 06:41:42,UPI Fraud,98339.86,Indore,115,Kolkata,1
CMP_100010,2023-02-24 01:49:07,OTP Scam,68350.45,Indore,42,Kolkata,1
CMP_100011,2024-11-04 02:29:34,Phishing,94277.97,Mumbai,1361,Lucknow,0
CMP_100012,2023-05-07 08:05:31,UPI Fraud,10669.54,Hyderabad,31,Hyderabad,0
CMP_100013,2024-06-29 02:52:43,UPI Fraud,68643.09,Jaipur,87,Jaipur,1
CMP_100014,2024-02-19 21:05:20,Phishing,91022.72,Hyderabad,394,Hyderabad,0
CMP_100015,2023-07-29 16:11:31,UPI Fraud,75780.78,Pune,86,Mumbai,1
CMP_100016,2023-09-09 21:04:05,Credit Card Fraud,100578.68,Mumbai,174,Mumbai,0
CMP_100017,2023-01-25 22:23:30,OTP Scam,94010.4,Hyderabad,56,Mumbai,1
CMP_100018,2024-03-16 13:00:08,OTP Scam,33327.54,Kolkata,45,Kolkata,0
CMP_100019,2024-01-23 18:20:42,Credit Card Fraud,480974.29,Chennai,1376,Chennai,0
CMP_100020,2023-07-25 02:47:27,UPI Fraud,27863.55,Chennai,79,Chennai,0
CMP_100021,2024-03-29 05:50:31,Credit Card Fraud,482975.1,Indore,509,Delhi,0
CMP_100022,2023-04-18 10:41:26,Phishing,42916.75,Delhi,246,Jaipur,0
CMP_100023,2024-10-30 00:50:18,Phishing,81730.68,Delhi,924,Delhi,0
CMP_100024,2023-10-26 20:34:57,OTP Scam,79227.38,Chennai,64,Chennai,1
CMP_100025,2024-10-30 14:05:47,Online Shopping Scam,65456.63,Kolkata,294,Kolkata,0
CMP_100026,2024-02-22 01:51:08,OTP Scam,45495.62,Delhi,103,Delhi,0
CMP_100027,2023-03-28 00:29:59,Phishing,31787.25,Jaipur,66,Chennai,0
CMP_100028,2024-11-11 07:04:55,OTP Scam,64118.19,Bengaluru,69,Kolkata,1
CMP_100029,2023-03-24 15:38:29,Phishing,71611.23,Delhi,671,Chennai,0
CMP_100030,2024-01-30 07:31:19,Credit Card Fraud,387773.92,Kolkata,373,Kolkata,0
CMP_100031,2023-05-06 11:29:32,Phishing,71355.63,Lucknow,1146,Lucknow,0
CMP_100032,2024-04-10 05:08:10,UPI Fraud,20970.2,Kolkata,7,Kolkata,0
CMP_100033,2023-10-09 22:27:06,Credit Card Fraud,286005.03,Hyderabad,689,Hyderabad,0
CMP_100034,2023-07-07 02:10:18,Online Shopping Scam,25679.93,Hyderabad,221,Hyderabad,0
CMP_100035,2024-01-13 11:31:07,Online Shopping Scam,60287.68,Bengaluru,1150,Pune,0
CMP_100036,2023-04-10 17:23:25,OTP Scam,62811.05,Indore,75,Delhi,1
CMP_100037,2024-04-16 03:43:48,OTP Scam,80563.54,Hyderabad,32,Lucknow,1
CMP_100038,2024-06-19 02:25:53,Phishing,36273.49,Delhi,1435,Delhi,0
CMP_100039,2023-12-07 06:46:38,UPI Fraud,65121.32,Indore,62,Delhi,1
CMP_100040,2023-09-20 01:37:18,OTP Scam,1688.26,Jaipur,33,Jaipur,0
CMP_100041,2024-07-03 19:06:41,Credit Card Fraud,247566.69,Delhi,528,Delhi,0
CMP_100042,2023-01-25 09:34:47,Phishing,34423.9,Pune,205,Pune,0
CMP_100043,2023-08-05 07:11:32,UPI Fraud,56252.1,Hyderabad,32,Hyderabad,1
CMP_100044,2024-11-16 08:48:45,UPI Fraud,97206.43,Hyderabad,65,Mumbai,1
CMP_100045,2023-11-13 23:42:51,Fake Loan App,359012.59,Chennai,942,Chennai,0
CMP_100046,2023-11-16 07:30:06,UPI Fraud,4651.81,Delhi,98,Delhi,0
CMP_100047,2024-05-22 13:17:35,Online Shopping Scam,41692.66,Kolkata,261,Kolkata,0
CMP_100048,2024-07-19 14:53:06,UPI Fraud,90918.32,Bengaluru,115,Mumbai,1
CMP_100049,2024-02-21 13:05:27,Phishing,49455.82,Pune,924,Pune,0
CMP_100050,2023-12-26 23:28:44,UPI Fraud,67541.42,Jaipur,108,Kolkata,1
CMP_100051,2023-02-09 07:02:05,OTP Scam,47559.76,Mumbai,74,Pune,0
CMP_100052,2023-03-14 10:32:38,UPI Fraud,81826.76,Delhi,113,Delhi,1
CMP_100053,2024-01-09 04:57:16,UPI Fraud,19465.33,Bengaluru,12,Bengaluru,0
CMP_100054,2023-01-02 16:10:44,Credit Card Fraud,342006.54,Bengaluru,603,Lucknow,0
CMP_100055,2024-09-01 19:52:19,Credit Card Fraud,120982.93,Kolkata,926,Kolkata,0
CMP_100056,2024-07-21 09:36:21,UPI Fraud,69402.84,Kolkata,76,Mumbai,1
CMP_100057,2023-05-28 22:37:10,OTP Scam,67893.32,Indore,99,Indore,1
CMP_100058,2023-02-14 05:32:16,Phishing,92544.67,Lucknow,1147,Lucknow,0
CMP_100059,2024-01-30 00:04:33,UPI Fraud,66338.42,Lucknow,81,Lucknow,1
CMP_100060,2023-11-10 01:37:18,Online Shopping Scam,52146.95,Delhi,1277,Delhi,0
CMP_100061,2023-03-05 16:16:53,UPI Fraud,10217.17,Chennai,79,Chennai,0
CMP_100062,2023-09-03 17:33:40,Online Shopping Scam,63677.04,Indore,478,Indore,0
CMP_100063,2023-09-02 04:08:42,UPI Fraud,70335.43,Bengaluru,90,Mumbai,1
CMP_100064,2024-12-22 14:09:24,OTP Scam,64561.13,Delhi,14,Delhi,1
CMP_100065,2024-03-13 06:57:43,UPI Fraud,89956.86,Hyderabad,14,Mumbai,1
CMP_100066,2023-04-13 21:10:09,Phishing,11045.68,Bengaluru,200,Indore,0
CMP_100067,2023-10-15 05:53:03,Phishing,16920.0,Mumbai,1172,Mumbai,0
CMP_100068,2024-04-20 02:29:59,Fake Loan App,329461.02,Indore,1399,Indore,0
CMP_100069,2024-06-02 17:52:20,UPI Fraud,2789.46,Chennai,43,Hyderabad,0
CMP_100070,2023-03-22 10:59:32,UPI Fraud,74672.88,Bengaluru,22,Bengaluru,1
CMP_100071,2024-07-30 15:39:00,Fake Loan App,288471.22,Bengaluru,617,Bengaluru,0
CMP_100072,2023-06-13 14:25:16,Fake Loan App,132726.29,Pune,476,Pune,0
CMP_100073,2024-10-24 05:16:50,Online Shopping Scam,49187.47,Jaipur,164,Jaipur,0
CMP_100074,2023-11-26 00:01:28,Fake Loan App,399457.54,Delhi,150,Delhi,0
CMP_100075,2024-08-21 02:10:15,Credit Card Fraud,251333.67,Chennai,964,Chennai,0
